Pauliina;705;Saares;VIHR;01;38;WOMEN;Helsinki;IN_RESERVE;195;373;568;0;568;0.2;0.2;0.2;2435.219;
Joona;44;Haavisto;KOK;01;33;MEN;Helsinki;IN_RESERVE;149;358;507;296;211;0.2;0.1;0.2;2410.737;
Juhani;847;Strandén;PS;01;46;MEN;Helsinki;IN_RESERVE;106;217;323;103;220;0.1;0.1;0.1;2410.333;
Sandra;257;Hagman;VAS;01;35;WOMEN;Helsinki;IN_RESERVE;214;353;567;0;567;0.2;0.2;0.2;2404.4;
Anna;666;Laine;VIHR;01;49;WOMEN;Helsinki;IN_RESERVE;178;382;560;129;431;0.2;0.1;0.2;2361.424;
Martina;180;Harms-Aalto;RKP;01;53;WOMEN;Helsinki;IN_RESERVE;244;267;511;0;511;0.2;0.2;0.1;2354.375;
Mirka;473;Vainikka;SDP;01;38;WOMEN;Helsinki;IN_RESERVE;173;343;516;657;-141;0.2;0.1;0.2;2350.053;
Heidi;131;Ruhala;KOK;01;42;WOMEN;Helsinki;IN_RESERVE;136;365;501;282;219;0.2;0.1;0.2;2348.923;
Kimmo;957;Tiilikainen;KESK;01;50;MEN;Helsinki;IN_RESERVE;387;411;798;247;551;0.2;0.3;0.2;2293.5;
Mikko;651;Kiesiläinen;VIHR;01;29;MEN;Helsinki;IN_RESERVE;198;360;558;0;558;0.2;0.2;0.2;2291.971;
Johanna;86;Krabbe;KOK;01;51;WOMEN;Helsinki;IN_RESERVE;181;308;489;373;116;0.2;0.1;0.2;2290.2;
Tuulikki;597;Vuorinen;KD;01;52;WOMEN;Helsinki;IN_RESERVE;139;254;393;333;60;0.1;0.1;0.1;2255.25;
Outi;239;Alanen;VAS;01;50;WOMEN;Helsinki;IN_RESERVE;163;315;478;0;478;0.1;0.1;0.2;2254.125;
Iida;28;Aarnio;KOK;01;26;WOMEN;Helsinki;IN_RESERVE;139;344;483;0;483;0.1;0.1;0.2;2234.341;
Tuomo;475;Valokainen;SDP;01;60;MEN;Helsinki;IN_RESERVE;164;307;471;855;-384;0.1;0.1;0.2;2232.55;
Amos;1060;Ahola;LIBE;01;34;MEN;Helsinki;IN_RESERVE;158;398;556;0;556;0.2;0.1;0.2;2230.0;
Sameli;715;Sivonen;VIHR;01;25;MEN;Helsinki;IN_RESERVE;210;335;545;0;545;0.2;0.2;0.2;2226.486;
